DATA;CODCARRO;MODELO;CATEGORIA;QTD;VALOR_UNIT;VALOR_TOTAL;VENDEDOR;CONCESSIONARIA;ANO
01/01/2024;C1003;Volkswagen T-Cross;SUV;1;136530,23;136530,23;Carlos;ViaLux;2024
01/01/2024;C1008;Hyundai HB20;Hatch;1;84756,36;84756,36;Ana;AutoNorte;2024
01/01/2024;C1007;Honda HR-V;SUV;1;190547,7;190547,7;Pedro;ViaLux;2024
01/01/2024;C1006;Renault Kwid;Hatch;1;66876,03;66876,03;Ana;DriveTop;2024
01/01/2024;C1009;Nissan Kicks;SUV;1;119622,57;119622,57;Pedro;DriveTop;2024
01/01/2024;C1008;Hyundai HB20;Hatch;1;78208,92;78208,92;Ana;AutoVale;2024
01/01/2024;C1001;Fiat Pulse;SUV;2;107661,83;215323,66;Marcos;CityCars;2024
01/01/2024;C1003;Volkswagen T-Cross;SUV;1;132446,42;132446,42;Carlos;CityCars;2024
01/01/2024;C1008;Hyundai HB20;Hatch;1;87882,83;87882,83;Fernanda;MegaMotors;2024
01/01/2024;C1002;Chevrolet Onix;Hatch;1;99497,6;99497,6;Julia;MegaMotors;2024
01/01/2024;C1004;Toyota Corolla;Sedan;1;188414,77;188414,77;Carlos;PremiumCar;2024
01/01/2024;C1006;Renault Kwid;Hatch;1;68035,65;68035,65;Marcos;DriveTop;2024
01/01/2024;C1007;Honda HR-V;SUV;1;193063,42;193063,42;João;TopDrive;2024
01/01/2024;C1004;Toyota Corolla;Sedan;3;184228,02;552684,06;Patrícia;AutoVale;2024
01/01/2024;C1003;Volkswagen T-Cross;SUV;1;123637,42;123637,42;Marcos;AutoVale;2024
01/01/2024;C1005;Jeep Compass;SUV;1;180429,31;180429,31;Fernanda;AutoVale;2024
01/01/2024;C1010;Fiat Strada;Picape;1;142313,74;142313,74;Fernanda;AutoVale;2024
01/01/2024;C1009;Nissan Kicks;SUV;2;149563,63;299127,26;Carlos;ViaLux;2024
01/01/2024;C1002;Chevrolet Onix;Hatch;1;96930,79;96930,79;Pedro;AutoSul;2024
01/01/2024;C1009;Nissan Kicks;SUV;3;130329,64;390988,92;Beatriz;CarPrime;2024
01/01/2024;C1002;Chevrolet Onix;Hatch;1;87101,06;87101,06;Marcos;ViaLux;2024
01/01/2024;C1009;Nissan Kicks;SUV;3;115230,65;345691,95;Carlos;AutoSul;2024
01/01/2024;C1005;Jeep Compass;SUV;1;221395,27;221395,27;Carlos;AutoVale;2024
01/01/2024;C1010;Fiat Strada;Picape;1;118755,4;118755,4;Marcos;AutoVale;2024
01/01/2024;C1002;Chevrolet Onix;Hatch;1;103093,79;103093,79;Pedro;AutoVale;2024
01/01/2024;C1003;Volkswagen T-Cross;SUV;1;131693,32;131693,32;Pedro;AutoVale;2024
01/01/2024;C1006;Renault Kwid;Hatch;2;67100,7;134201,4;Marcos;AutoSul;2024
01/01/2024;C1006;Renault Kwid;Hatch;1;68995,52;68995,52;Marcos;CarPrime;2024
